R_version	name	version	date_time	hash	binary_location	status
4.2.0	ChIPpeakAnno	3.30.1	2022-09-05T14:12:41Z	fa3859e0233813f828548cd31f0b7899	/workspace/rst/cache_R_4_2/library/ChIPpeakAnno/3.30.1/fa3859e0233813f828548cd31f0b7899/ChIPpeakAnno	available
4.2.0	ChIPseeker	1.32.0	2022-09-05T14:48:31Z	c18011628a93cf2922f15c189af209d3	/workspace/rst/cache_R_4_2/library/ChIPseeker/1.32.0/c18011628a93cf2922f15c189af209d3/ChIPseeker	available
4.2.0	ChrAccR	0.9.17	2022-09-06T14:24:55Z	31d2351538597f75d8e174244a305eb3	/workspace/rst/cache_R_4_2/library/ChrAccR/0.9.17/31d2351538597f75d8e174244a305eb3/ChrAccR	available
4.2.0	ChrAccRex	0.2	2022-09-06T14:26:40Z	9dcb7bef250b5961eccc56af2abdc004	/workspace/rst/cache_R_4_2/library/ChrAccRex/0.2/9dcb7bef250b5961eccc56af2abdc004/ChrAccRex	available
4.2.0	ComplexHeatmap	2.12.1	2022-09-05T14:45:18Z	8cc8ff4cb478c3ca44038af6c848eae2	/workspace/rst/cache_R_4_2/library/ComplexHeatmap/2.12.1/8cc8ff4cb478c3ca44038af6c848eae2/ComplexHeatmap	available
4.2.0	CrispRVariants	1.24.0	2022-09-05T14:49:35Z	faa1608d6ef73cadb684a13978049c2a	/workspace/rst/cache_R_4_2/library/CrispRVariants/1.24.0/faa1608d6ef73cadb684a13978049c2a/CrispRVariants	available
4.2.0	DBI	1.1.3	2022-09-03T02:00:50Z	1150555defaf9a36bf7964f4cc92527e	/workspace/rst/cache_R_4_2/library/DBI/1.1.3/1150555defaf9a36bf7964f4cc92527e/DBI	available
4.2.0	DDRTree	0.1.5	2022-09-05T14:50:49Z	da36019ddaf5d81ff03c8776877fceef	/workspace/rst/cache_R_4_2/library/DDRTree/0.1.5/da36019ddaf5d81ff03c8776877fceef/DDRTree	available
4.2.0	DESeq2	1.36.0	2022-09-05T14:51:49Z	bd8aad06d55ee2b9a0d2ae93f86092c0	/workspace/rst/cache_R_4_2/library/DESeq2/1.36.0/bd8aad06d55ee2b9a0d2ae93f86092c0/DESeq2	available
4.2.0	DEoptimR	1.0.11	2022-09-05T14:51:54Z	6610e595362d089da222bad97f9f1670	/workspace/rst/cache_R_4_2/library/DEoptimR/1.0.11/6610e595362d089da222bad97f9f1670/DEoptimR	available
4.2.0	DO.db	2.9	2022-09-05T14:48:31Z	cb5e24dda49fb390899e41c773ab6c58	/workspace/rst/cache_R_4_2/library/DO.db/2.9/cb5e24dda49fb390899e41c773ab6c58/DO.db	available
4.2.0	DOSE	3.22.1	2022-09-05T14:48:31Z	a0b4ca285be3765ef6292e5c1e614ec5	/workspace/rst/cache_R_4_2/library/DOSE/3.22.1/a0b4ca285be3765ef6292e5c1e614ec5/DOSE	available
4.2.0	DT	0.24	2022-09-05T14:12:42Z	c8ae79125c9974fc1f755d60290a5d82	/workspace/rst/cache_R_4_2/library/DT/0.24/c8ae79125c9974fc1f755d60290a5d82/DT	available
4.2.0	DelayedArray	0.22.0	2022-09-05T14:12:42Z	1d5f90b2de436e8c53ec1ed4afabf09a	/workspace/rst/cache_R_4_2/library/DelayedArray/0.22.0/1d5f90b2de436e8c53ec1ed4afabf09a/DelayedArray	available
4.2.0	DelayedMatrixStats	1.18.0	2022-09-05T14:52:44Z	a4c86dfa3b370e266ae12c1832eefb9b	/workspace/rst/cache_R_4_2/library/DelayedMatrixStats/1.18.0/a4c86dfa3b370e266ae12c1832eefb9b/DelayedMatrixStats	available
4.2.0	DescTools	0.99.46	2022-09-05T14:53:52Z	d74913b4116155efe5300221f9a4db59	/workspace/rst/cache_R_4_2/library/DescTools/0.99.46/d74913b4116155efe5300221f9a4db59/DescTools	available
